price,year,make,model,bodytype,transmission,odometer,drivetrain,age,annual_km
25872,2015,Jeep,Wrangler,SUV,Manual,127092,4x4,8,15886
45763,2021,Ram,1500,Truck,Automatic,39018,4x4,2,19509
27888,2016,Nissan,Pathfinder,SUV,Automatic,108211,4x4,7,15458
61833,2020,Ram,1500,Truck,Automatic,63381,4x4,3,21127
86748,2022,Ram,1500,Truck,Automatic,3200,4x4,1,3200
56994,2020,Ram,1500,Truck,Automatic,34468,4x4,3,11489
27867,2016,Bmw,2,Sedan,Automatic,60964,awd,7,8709
31889,2018,Honda,Cr-v,SUV,Automatic,24508,awd,5,4901
54900,2018,Chevrolet,Silverado,Truck,Automatic,47010,4x4,5,9402
36988,2020,Volkswagen,Jetta,Sedan,Automatic,19888,fwd,3,6629
56037,2019,Nissan,Armada,SUV,Automatic,62495,4x4,4,15623
16990,2015,Ford,Escape,SUV,Automatic,172427,4x4,8,21553
29979,2019,Jeep,Cherokee,SUV,Automatic,131128,4x4,4,32782
30977,2019,Dodge,Charger,Sedan,Automatic,70146,rwd,4,17536
30480,2017,Jeep,Cherokee,SUV,Automatic,48697,4x4,6,8116
33844,2019,Dodge,Charger,Sedan,Automatic,87615,awd,4,21903
41993,2021,Dodge,Charger,Sedan,Automatic,61146,rwd,2,30573
23478,2015,Mercedes-benz,Cla-class,Sedan,Automatic,139401,awd,8,17425
31012,2019,Nissan,Altima,Sedan,Automatic,58402,awd,4,14600
34980,2018,Toyota,Camry,Sedan,Automatic,53522,fwd,5,10704
17489,2018,Hyundai,Elantra,Sedan,Automatic,149300,fwd,5,29860
46730,2019,Ford,F-150,Truck,Automatic,93836,4x4,4,23459
38989,2020,Dodge,Grand,Minivan,Automatic,85330,fwd,3,28443
26306,2018,Dodge,Grand,Minivan,Automatic,92269,fwd,5,18453
29992,2017,Dodge,Grand,Minivan,Automatic,68030,fwd,6,11338
42764,2020,Dodge,Grand,Minivan,Automatic,16263,fwd,3,5421
40163,2018,Ford,F-150,Truck,Automatic,63719,4x4,5,12743
29360,2018,Jeep,Compass,SUV,Automatic,94230,4x4,5,18846
25779,2018,Honda,Civic,Sedan,Automatic,93009,fwd,5,18601
16999,2014,Buick,Enclave,SUV,Automatic,142439,other,9,15826
55888,2018,Mercedes-benz,Gle,SUV,Automatic,54210,awd,5,10842
49995,2021,Infiniti,Q50,Sedan,Automatic,5296,awd,2,2648
37395,2021,Volkswagen,Jetta,Sedan,Manual,19374,fwd,2,9687
39995,2020,Dodge,Grand,Minivan,Automatic,34875,fwd,3,11625
44373,2016,Ford,Focus,Hatchback,Manual,34530,awd,7,4932
35995,2017,Ford,Explorer,SUV,Automatic,118808,4x4,6,19801
34895,2019,Jeep,Cherokee,SUV,Automatic,44798,4x4,4,11199
37495,2018,Dodge,Charger,Sedan,Automatic,52873,awd,5,10574
49995,2020,Dodge,Durango,SUV,Automatic,75270,awd,3,25090
49000,2021,Jeep,Grand,SUV,Automatic,29420,4x4,2,14710
11988,2013,Dodge,Journey,Sedan,Automatic,198855,other,10,19885
35888,2018,Volkswagen,Golf,Wagon,Automatic,81699,awd,5,16339
12995,2015,Gmc,Terrain,SUV,Automatic,173000,fwd,8,21625
18999,2016,Ford,Focus,Sedan,Automatic,36574,fwd,7,5224
